지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
108,2024-12-01 00:42,2.6,0,16.5,1.7,1005.1,1015.8,94.2,0,0
108,2024-12-01 00:43,2.6,0,27.7,1.9,1005.1,1015.8,94.1,0,0
108,2024-12-01 00:44,2.6,0,23.4,2,1005.1,1015.8,93.7,0,0
108,2024-12-01 00:45,2.6,0,18.4,2,1005.1,1015.8,93.8,0,0
108,2024-12-01 00:46,2.6,0,17.3,1.9,1005.1,1015.8,94,0,0
108,2024-12-01 00:47,2.6,0,11.2,2.2,1005.1,1015.8,93.7,0,0
108,2024-12-01 00:48,2.6,0,15.7,2.3,1005.1,1015.8,93.8,0,0
108,2024-12-01 00:49,2.6,0,16.9,2.2,1005.1,1015.8,93.5,0,0
108,2024-12-01 00:50,2.6,0,16.8,2.1,1005.1,1015.8,93.5,0,0
108,2024-12-01 00:51,2.6,0,18.9,2.2,1005.1,1015.8,93.5,0,0
108,2024-12-01 00:52,2.5,0,22.6,2.3,1005.1,1015.8,93.7,0,0
108,2024-12-01 00:53,2.5,0,25.2,2.1,1005.1,1015.8,93.4,0,0
108,2024-12-01 00:54,2.5,0,22.1,2,1005.1,1015.8,93.6,0,0
108,2024-12-01 00:55,2.5,0,24.9,1.9,1005.1,1015.8,93.5,0,0
108,2024-12-01 00:56,2.5,0,27.3,2,1005.1,1015.8,93.4,0,0
108,2024-12-01 00:57,2.5,0,33.4,1.7,1005.1,1015.8,93.3,0,0
108,2024-12-01 00:58,2.5,0,39.3,1.5,1005.1,1015.8,93.5,0,0
108,2024-12-01 00:59,2.5,0,38.3,1.5,1005.1,1015.8,93.5,0,0
108,2024-12-01 01:00,2.5,0,41,1.4,1005.1,1015.8,93.5,0,0
108,2024-12-01 01:01,2.5,0,43.9,1.4,1005.1,1015.8,93.5,0,0
108,2024-12-01 01:02,2.4,0,42.2,1.2,1005.1,1015.8,93.5,0,0
108,2024-12-01 01:03,2.4,0,56.3,1.1,1005.1,1015.8,93.2,0,0
108,2024-12-01 01:04,2.4,0,51.9,1.4,1005.1,1015.8,93.4,0,0
108,2024-12-01 01:05,2.5,0,72.4,1.2,1005.1,1015.8,93.7,0,0
108,2024-12-01 01:06,2.5,0,49.4,1.2,1005.1,1015.8,94.2,0,0
108,2024-12-01 01:07,2.5,0,56.9,1.5,1005.1,1015.8,94.5,0,0
108,2024-12-01 01:08,2.5,0,64.9,1.7,1005.2,1015.9,94.5,0,0
108,2024-12-01 01:09,2.5,0,44.8,.6,1005.2,1015.9,94.7,0,0
108,2024-12-01 01:10,2.5,0,63.9,1.1,1005.2,1015.9,94.7,0,0
108,2024-12-01 01:11,2.5,0,58.7,1.4,1005.2,1015.9,94.6,0,0
108,2024-12-01 01:12,2.5,0,65.7,1.3,1005.2,1015.9,94.7,0,0
108,2024-12-01 01:13,2.5,0,56.4,1.5,1005.2,1015.9,94.8,0,0
108,2024-12-01 01:14,2.5,0,64.4,1.5,1005.2,1015.9,94.5,0,0
108,2024-12-01 01:15,2.5,0,48.7,.8,1005.2,1015.9,94.5,0,0
108,2024-12-01 01:16,2.5,0,63.5,.7,1005.2,1015.9,94.4,0,0
108,2024-12-01 01:17,2.5,0,59.4,.5,1005.2,1015.9,94.4,0,0
108,2024-12-01 01:18,2.5,0,68.7,1.1,1005.2,1015.9,94.2,0,0
108,2024-12-01 01:19,2.5,0,74,.9,1005.2,1015.9,94.2,0,0
108,2024-12-01 01:20,2.5,0,74.6,.2,1005.3,1016,94.2,0,0
108,2024-12-01 01:21,2.5,0,56.4,1,1005.3,1016,94.5,0,0
108,2024-12-01 01:22,2.5,0,44.2,.9,1005.3,1016,94.4,0,0
108,2024-12-01 01:23,2.5,0,38.7,1.2,1005.2,1015.9,94.6,0,0
108,2024-12-01 01:24,2.5,0,51.7,1.1,1005.2,1015.9,94.2,0,0
108,2024-12-01 01:25,2.5,0,48.5,1,1005.2,1015.9,94.3,0,0
108,2024-12-01 01:26,2.5,0,54.9,.8,1005.3,1016,94.3,0,0
108,2024-12-01 01:27,2.5,0,47.7,1,1005.3,1016,94.3,0,0
108,2024-12-01 01:28,2.5,0,32.8,1.4,1005.3,1016,94.4,0,0
108,2024-12-01 01:29,2.5,0,14.3,1.6,1005.3,1016,94.2,0,0
108,2024-12-01 01:30,2.5,0,21.2,1.4,1005.3,1016,94,0,0
108,2024-12-01 01:31,2.5,0,25.9,1.2,1005.3,1016,93.8,0,0
108,2024-12-01 01:32,2.4,0,27.7,1.2,1005.3,1016,93.8,0,0
108,2024-12-01 01:33,2.4,0,39.6,1.1,1005.3,1016,94,0,0
108,2024-12-01 01:34,2.5,0,23.6,1.5,1005.3,1016,94.1,0,0
108,2024-12-01 01:35,2.5,0,12.7,1.7,1005.3,1016,94.4,0,0
108,2024-12-01 01:36,2.4,0,19,1.7,1005.3,1016,94.4,0,0
108,2024-12-01 01:37,2.4,0,17.7,1.6,1005.3,1016,94,0,0
108,2024-12-01 01:38,2.4,0,20.4,1.5,1005.3,1016,93.7,0,0
108,2024-12-01 01:39,2.4,0,25.7,1.5,1005.3,1016,93.6,0,0
108,2024-12-01 01:40,2.4,0,31.7,1.5,1005.2,1015.9,94.1,0,0
108,2024-12-01 01:41,2.4,0,27.3,1.7,1005.3,1016,94.1,0,0
108,2024-12-01 01:42,2.4,0,16.9,1.7,1005.3,1016,94.1,0,0
108,2024-12-01 01:43,2.4,0,18.2,1.8,1005.3,1016,93.9,0,0
108,2024-12-01 01:44,2.4,0,25.2,1.6,1005.3,1016,93.8,0,0
108,2024-12-01 01:45,2.4,0,23,1.7,1005.3,1016,93.5,0,0
108,2024-12-01 01:46,2.3,0,19.9,1.7,1005.3,1016,93.8,0,0
108,2024-12-01 01:47,2.3,0,22,1.6,1005.3,1016,93.8,0,0
108,2024-12-01 01:48,2.3,0,20.1,1.8,1005.3,1016,93.9,0,0
108,2024-12-01 01:49,2.3,0,18.8,1.9,1005.3,1016,93.9,0,0
108,2024-12-01 01:50,2.3,0,18.6,1.9,1005.3,1016,93.9,0,0
108,2024-12-01 01:51,2.3,0,18.4,2,1005.3,1016,93.7,0,0
108,2024-12-01 01:52,2.3,0,22.2,1.9,1005.3,1016,93.7,0,0
108,2024-12-01 01:53,2.3,0,21.5,1.8,1005.3,1016,93.7,0,0
108,2024-12-01 01:54,2.3,0,20.6,1.6,1005.3,1016,93.7,0,0
108,2024-12-01 01:55,2.3,0,20.1,1.6,1005.3,1016,94.1,0,0
108,2024-12-01 01:56,2.3,0,23.3,1.6,1005.4,1016.1,94.1,0,0
108,2024-12-01 01:57,2.3,0,22.2,1.5,1005.4,1016.1,94.1,0,0
108,2024-12-01 01:58,2.3,0,18.3,1.7,1005.4,1016.1,94.2,0,0
108,2024-12-01 01:59,2.3,0,17.6,1.7,1005.4,1016.1,94.1,0,0
108,2024-12-01 02:00,2.3,0,26.2,1.7,1005.4,1016.1,94.1,0,0
108,2024-12-01 02:01,2.3,0,25.3,1.7,1005.4,1016.1,94.2,0,0
108,2024-12-01 02:02,2.3,0,31.7,1.5,1005.4,1016.1,94.1,0,0
108,2024-12-01 02:03,2.3,0,20.9,1.7,1005.4,1016.1,94,0,0
108,2024-12-01 02:04,2.3,0,14.3,1.9,1005.4,1016.1,93.9,0,0
108,2024-12-01 02:05,2.3,0,16.6,1.9,1005.4,1016.1,94.3,0,0
108,2024-12-01 02:06,2.3,0,17.5,2,1005.4,1016.1,94.6,0,0
108,2024-12-01 02:07,2.3,0,16.3,1.9,1005.4,1016.1,94.2,0,0
108,2024-12-01 02:08,2.2,0,23.3,1.8,1005.5,1016.2,94.1,0,0
108,2024-12-01 02:09,2.2,0,22.4,1.8,1005.5,1016.2,93.8,0,0
108,2024-12-01 02:10,2.2,0,23,1.8,1005.5,1016.2,93.8,0,0
108,2024-12-01 02:11,2.2,0,27.7,1.6,1005.5,1016.2,93.7,0,0
108,2024-12-01 02:12,2.2,0,34.4,1.4,1005.5,1016.2,93.9,0,0
108,2024-12-01 02:13,2.2,0,37.5,1.5,1005.5,1016.2,93.9,0,0
108,2024-12-01 02:14,2.2,0,39.1,1.3,1005.5,1016.2,93.7,0,0
108,2024-12-01 02:15,2.1,0,54.6,1.3,1005.5,1016.2,93.8,0,0
108,2024-12-01 02:16,2.1,0,44.5,1.4,1005.5,1016.2,93.7,0,0
108,2024-12-01 02:17,2.1,0,59.6,1.4,1005.5,1016.2,93.7,0,0
108,2024-12-01 02:18,2.1,0,55.5,1.1,1005.5,1016.2,93.9,0,0
108,2024-12-01 02:19,2.1,0,22.4,1.4,1005.6,1016.3,94.1,0,0
108,2024-12-01 02:20,2.1,0,29,1.3,1005.6,1016.3,94.1,0,0
108,2024-12-01 02:21,2.1,0,43.2,1.1,1005.6,1016.3,94.1,0,0
108,2024-12-01 02:22,2.1,0,22,1.5,1005.6,1016.3,94.1,0,0
108,2024-12-01 02:23,2.1,0,15.9,1.8,1005.6,1016.3,94.3,0,0
108,2024-12-01 02:24,2.1,0,27.9,1.9,1005.6,1016.3,94.3,0,0
108,2024-12-01 02:25,2.1,0,20.8,1.7,1005.6,1016.3,94.4,0,0
108,2024-12-01 02:26,2.2,0,15.3,1.7,1005.6,1016.3,94.6,0,0
108,2024-12-01 02:27,2.1,0,12.2,1.8,1005.6,1016.3,94.6,0,0
108,2024-12-01 02:28,2.1,0,16.9,1.9,1005.6,1016.3,94.6,0,0
108,2024-12-01 02:29,2.1,0,15.2,2.1,1005.6,1016.3,94.3,0,0
108,2024-12-01 02:30,2.1,0,16.3,2.1,1005.6,1016.3,94.4,0,0
108,2024-12-01 02:31,2.1,0,18.6,2.1,1005.6,1016.3,94.2,0,0
108,2024-12-01 02:32,2.1,0,19.1,2.2,1005.6,1016.3,94.4,0,0
108,2024-12-01 02:33,2.1,0,17.3,2.1,1005.7,1016.4,94.3,0,0
108,2024-12-01 02:34,2.1,0,16.4,2.2,1005.7,1016.4,94.4,0,0
108,2024-12-01 02:35,2.1,0,20.8,2.3,1005.7,1016.4,94.4,0,0
108,2024-12-01 02:36,2.1,0,19.5,2.2,1005.7,1016.4,94.2,0,0
108,2024-12-01 02:37,2.1,0,28.3,2.1,1005.7,1016.4,94.5,0,0
108,2024-12-01 02:38,2.1,0,21.5,2,1005.7,1016.4,94.6,0,0
108,2024-12-01 02:39,2.1,0,26.4,2.1,1005.7,1016.4,94.5,0,0
108,2024-12-01 02:40,2.1,0,17.6,2.2,1005.8,1016.5,94.5,0,0
108,2024-12-01 02:41,2.1,0,17.8,2.2,1005.8,1016.5,94.5,0,0
108,2024-12-01 02:42,2.1,0,27.1,2.2,1005.8,1016.5,94.5,0,0
108,2024-12-01 02:43,2,0,29,2,1005.8,1016.5,94.5,0,0
108,2024-12-01 02:44,2.1,0,27.2,2.2,1005.8,1016.5,94.6,0,0
108,2024-12-01 02:45,2.1,0,26.6,2.2,1005.8,1016.5,94.9,0,0
108,2024-12-01 02:46,2,0,28.3,2.3,1005.8,1016.5,94.9,0,0
108,2024-12-01 02:47,2,0,21.4,2.2,1005.8,1016.5,94.6,0,0
108,2024-12-01 02:48,2,0,24.7,2.2,1005.8,1016.5,94.5,0,0
108,2024-12-01 02:49,2,0,23,2.3,1005.8,1016.5,94.6,0,0
108,2024-12-01 02:50,2,0,29.3,2.2,1005.8,1016.5,94.6,0,0
108,2024-12-01 02:51,2,0,21.1,2.4,1005.8,1016.5,94.5,0,0
108,2024-12-01 02:52,2,0,25.9,2.4,1005.8,1016.5,94.4,0,0
108,2024-12-01 02:53,1.9,0,26.6,2.5,1005.8,1016.5,94.5,0,0
108,2024-12-01 02:54,1.9,0,21,2.6,1005.8,1016.5,94.3,0,0
108,2024-12-01 02:55,1.9,0,20.4,2.7,1005.8,1016.5,94.3,0,0
108,2024-12-01 02:56,1.9,0,27.4,2.5,1005.8,1016.5,94.7,0,0
108,2024-12-01 02:57,1.9,0,24.2,2.4,1005.7,1016.4,94.4,0,0
108,2024-12-01 02:58,1.9,0,28,2.4,1005.7,1016.4,94.7,0,0
108,2024-12-01 02:59,1.9,0,35.5,2.4,1005.7,1016.4,94.5,0,0
108,2024-12-01 03:00,1.9,0,31.1,2.3,1005.7,1016.4,94.7,0,0
108,2024-12-01 03:01,1.9,0,20,2.7,1005.7,1016.4,94.8,0,0
108,2024-12-01 03:02,1.9,0,37.2,2.2,1005.7,1016.4,94.7,0,0
108,2024-12-01 03:03,1.9,0,44.4,1.7,1005.7,1016.4,94.5,0,0
108,2024-12-01 03:04,1.8,0,50.7,1.3,1005.7,1016.4,94.1,0,0
108,2024-12-01 03:05,1.8,0,47.3,1.6,1005.7,1016.4,94.1,0,0
108,2024-12-01 03:06,1.8,0,52.5,2.1,1005.7,1016.4,94.1,0,0
108,2024-12-01 03:07,1.8,0,47.3,2,1005.7,1016.4,94.2,0,0
108,2024-12-01 03:08,1.8,0,51,2.3,1005.8,1016.5,94.1,0,0
108,2024-12-01 03:09,1.8,0,52.3,2,1005.7,1016.4,93.8,0,0
108,2024-12-01 03:10,1.8,0,52.4,1.4,1005.7,1016.4,93.9,0,0
108,2024-12-01 03:11,1.8,0,51.4,1.6,1005.7,1016.4,94.1,0,0
108,2024-12-01 03:12,1.8,0,41.1,1.1,1005.7,1016.4,93.8,0,0
108,2024-12-01 03:13,1.8,0,49.3,1.2,1005.7,1016.4,93.7,0,0
108,2024-12-01 03:14,1.8,0,35.1,1.2,1005.7,1016.4,93.8,0,0
108,2024-12-01 03:15,1.8,0,35.9,1.6,1005.7,1016.4,94,0,0
108,2024-12-01 03:16,1.8,0,55,.8,1005.7,1016.4,94.1,0,0
108,2024-12-01 03:17,1.7,0,53.2,1,1005.8,1016.5,93.6,0,0
108,2024-12-01 03:18,1.7,0,53.8,1,1005.8,1016.5,93.5,0,0
108,2024-12-01 03:19,1.7,0,61.2,.9,1005.8,1016.5,93.4,0,0
108,2024-12-01 03:20,1.7,0,52.1,.8,1005.7,1016.4,93.7,0,0
108,2024-12-01 03:21,1.7,0,67.6,1,1005.7,1016.4,94.1,0,0
108,2024-12-01 03:22,1.7,0,73.7,1.7,1005.8,1016.5,94.2,0,0
108,2024-12-01 03:23,1.8,0,51.1,1.2,1005.7,1016.4,94.3,0,0
108,2024-12-01 03:24,1.8,0,64.8,1.9,1005.8,1016.5,94.8,0,0
108,2024-12-01 03:25,1.8,0,62.8,1.9,1005.7,1016.4,95,0,0
108,2024-12-01 03:26,1.8,0,77.4,2,1005.8,1016.5,94.9,0,0
108,2024-12-01 03:27,1.8,0,76.9,2.4,1005.8,1016.5,95.3,0,0
108,2024-12-01 03:28,1.8,0,59.3,1.8,1005.8,1016.5,95,0,0
108,2024-12-01 03:29,1.8,0,56.1,1.6,1005.8,1016.5,95.1,0,0
108,2024-12-01 03:30,1.8,0,70.3,1.9,1005.8,1016.5,95,0,0
108,2024-12-01 03:31,1.8,0,66.4,2.2,1005.8,1016.5,95.1,0,0
108,2024-12-01 03:32,1.8,0,62.6,1.9,1005.8,1016.5,95,0,0
108,2024-12-01 03:33,1.8,0,54,1.9,1005.8,1016.5,95.2,0,0
108,2024-12-01 03:34,1.8,0,56.1,2.9,1005.8,1016.5,94.9,0,0
108,2024-12-01 03:35,1.8,0,60.6,2.4,1005.8,1016.5,94.9,0,0
108,2024-12-01 03:36,1.8,0,59.5,1.8,1005.8,1016.5,94.8,0,0
108,2024-12-01 03:37,1.8,0,57.2,2.6,1005.8,1016.5,95,0,0
108,2024-12-01 03:38,1.8,0,59.7,2.5,1005.8,1016.5,95.4,0,0
108,2024-12-01 03:39,1.8,0,48.4,2.1,1005.8,1016.5,95.2,0,0
108,2024-12-01 03:40,1.8,0,50,2.1,1005.8,1016.5,95.3,0,0
108,2024-12-01 03:41,1.8,0,47.5,2.6,1005.8,1016.5,95.4,0,0
108,2024-12-01 03:42,1.8,0,51.9,1.5,1005.8,1016.5,95.5,0,0
108,2024-12-01 03:43,1.8,0,45.2,1.6,1005.8,1016.5,95.1,0,0
108,2024-12-01 03:44,1.8,0,49.2,2.2,1005.8,1016.5,95.2,0,0
108,2024-12-01 03:45,1.8,0,44.4,2.5,1005.7,1016.4,95.4,0,0
108,2024-12-01 03:46,1.8,0,58.5,2.7,1005.7,1016.4,95.3,0,0
108,2024-12-01 03:47,1.8,0,53.3,2.5,1005.7,1016.4,95.2,0,0
108,2024-12-01 03:48,1.8,0,57.8,1.6,1005.7,1016.4,95,0,0
108,2024-12-01 03:49,1.8,0,67.2,2.4,1005.7,1016.4,95.1,0,0
108,2024-12-01 03:50,1.8,0,61.4,1.6,1005.7,1016.4,95.3,0,0
108,2024-12-01 03:51,1.8,0,65.6,2,1005.7,1016.4,95.1,0,0
108,2024-12-01 03:52,1.8,0,48.7,2.7,1005.7,1016.4,95.1,0,0
108,2024-12-01 03:53,1.8,0,48.5,2.4,1005.7,1016.4,95.4,0,0
108,2024-12-01 03:54,1.8,0,55.8,2.1,1005.7,1016.4,95.5,0,0
108,2024-12-01 03:55,1.8,0,47.2,2,1005.7,1016.4,95.6,0,0
108,2024-12-01 03:56,1.8,0,48.8,2.2,1005.7,1016.4,95.4,0,0
108,2024-12-01 03:57,1.7,0,52.9,1.3,1005.7,1016.4,95.4,0,0
108,2024-12-01 03:58,1.7,0,52.6,2.1,1005.7,1016.4,95.2,0,0
108,2024-12-01 03:59,1.7,0,64.9,.9,1005.7,1016.4,95,0,0
108,2024-12-01 04:00,1.7,0,61.8,1.1,1005.7,1016.4,95,0,0
108,2024-12-01 04:01,1.7,0,66.5,.9,1005.7,1016.4,94.8,0,0
108,2024-12-01 04:02,1.7,0,63.3,1.3,1005.7,1016.4,94.8,0,0
108,2024-12-01 04:03,1.7,0,64,1.8,1005.7,1016.4,94.9,0,0
108,2024-12-01 04:04,1.7,0,65.4,1.2,1005.7,1016.4,95,0,0
108,2024-12-01 04:05,1.7,0,63.1,1.1,1005.6,1016.3,95.3,0,0
108,2024-12-01 04:06,1.7,0,59.8,1.5,1005.6,1016.3,95.5,0,0
108,2024-12-01 04:07,1.7,0,53.4,1.5,1005.6,1016.3,95.3,0,0
108,2024-12-01 04:08,1.7,0,41.6,2.1,1005.6,1016.3,95.6,0,0
108,2024-12-01 04:09,1.7,0,48.1,2.3,1005.6,1016.3,95.7,0,0
108,2024-12-01 04:10,1.7,0,48.9,1.8,1005.6,1016.3,95.8,0,0
108,2024-12-01 04:11,1.7,0,53.7,2,1005.6,1016.3,95.2,0,0
108,2024-12-01 04:12,1.7,0,53.3,1.7,1005.7,1016.4,95.1,0,0
108,2024-12-01 04:13,1.7,0,61.2,1.6,1005.7,1016.4,95.1,0,0
108,2024-12-01 04:14,1.7,0,54.6,2.1,1005.7,1016.4,94.9,0,0
108,2024-12-01 04:15,1.7,0,67.5,1.3,1005.6,1016.3,95,0,0
108,2024-12-01 04:16,1.7,0,61.2,1.1,1005.6,1016.3,94.8,0,0
108,2024-12-01 04:17,1.7,0,60.1,1.5,1005.6,1016.3,94.9,0,0
108,2024-12-01 04:18,1.7,0,67.4,1.8,1005.6,1016.3,95,0,0
108,2024-12-01 04:19,1.7,0,68.1,2,1005.6,1016.3,95,0,0
108,2024-12-01 04:20,1.7,0,65.8,1.1,1005.6,1016.3,94.9,0,0
108,2024-12-01 04:21,1.7,0,58.4,1.9,1005.6,1016.3,95.1,0,0
108,2024-12-01 04:22,1.7,0,72.2,2.4,1005.5,1016.2,95.1,0,0
108,2024-12-01 04:23,1.7,0,71.7,1.8,1005.5,1016.2,95.5,0,0
108,2024-12-01 04:24,1.7,0,69.2,1.3,1005.5,1016.2,95.6,0,0
108,2024-12-01 04:25,1.7,0,56.9,1.2,1005.5,1016.2,95.5,0,0
108,2024-12-01 04:26,1.7,0,42.8,1.7,1005.5,1016.2,95.8,0,0
108,2024-12-01 04:27,1.7,0,59.7,.9,1005.5,1016.2,95.5,0,0
108,2024-12-01 04:28,1.7,0,48.5,.4,1005.6,1016.3,95.5,0,0
108,2024-12-01 04:29,1.7,0,48.3,1,1005.6,1016.3,95.9,0,0
108,2024-12-01 04:30,1.7,0,48.9,1.3,1005.5,1016.2,95.7,0,0
108,2024-12-01 04:31,1.7,0,51.3,1.3,1005.5,1016.2,95.6,0,0
108,2024-12-01 04:32,1.7,0,41.4,1.7,1005.5,1016.2,95.8,0,0
108,2024-12-01 04:33,1.7,0,49.5,1.5,1005.5,1016.2,95.6,0,0
108,2024-12-01 04:34,1.7,0,65.3,1.7,1005.6,1016.3,95.5,0,0
108,2024-12-01 04:35,1.7,0,51,1.5,1005.6,1016.3,95.6,0,0
108,2024-12-01 04:36,1.7,0,60.4,1.7,1005.6,1016.3,96,0,0
108,2024-12-01 04:37,1.7,0,52.7,1.9,1005.6,1016.3,95.8,0,0
108,2024-12-01 04:38,1.7,0,67.5,2.4,1005.6,1016.3,95.8,0,0
108,2024-12-01 04:39,1.7,0,61.4,2,1005.6,1016.3,95.6,0,0
108,2024-12-01 04:40,1.7,0,65.1,2.1,1005.6,1016.3,95.6,0,0
108,2024-12-01 04:41,1.7,0,54.6,2.1,1005.6,1016.3,95.9,0,0
108,2024-12-01 04:42,1.7,0,63.5,2.5,1005.6,1016.3,95.8,0,0
108,2024-12-01 04:43,1.7,0,71.6,2.6,1005.6,1016.3,95.6,0,0
108,2024-12-01 04:44,1.6,0,70.2,2.6,1005.6,1016.3,95.6,0,0
108,2024-12-01 04:45,1.6,0,86.5,2.3,1005.6,1016.3,95.5,0,0
108,2024-12-01 04:46,1.6,0,65.7,1.8,1005.6,1016.3,95.3,0,0
108,2024-12-01 04:47,1.6,0,77.9,1.6,1005.6,1016.3,95.3,0,0
108,2024-12-01 04:48,1.6,0,71.1,2.2,1005.6,1016.3,95.5,0,0
108,2024-12-01 04:49,1.6,0,84.8,2.5,1005.6,1016.3,95.5,0,0
108,2024-12-01 04:50,1.6,0,70.5,1.9,1005.6,1016.3,95.8,0,0
108,2024-12-01 04:51,1.7,0,58.7,1.9,1005.6,1016.3,95.9,0,0
108,2024-12-01 04:52,1.6,0,66,2.5,1005.7,1016.4,95.7,0,0
108,2024-12-01 04:53,1.6,0,81.8,2,1005.7,1016.4,95.9,0,0
108,2024-12-01 04:54,1.6,0,71.7,2,1005.7,1016.4,95.9,0,0
108,2024-12-01 04:55,1.6,0,69.7,2.5,1005.7,1016.4,95.9,0,0
108,2024-12-01 04:56,1.6,0,70,1.6,1005.7,1016.4,96,0,0
108,2024-12-01 04:57,1.6,0,60.7,1.9,1005.7,1016.4,95.9,0,0
108,2024-12-01 04:58,1.6,0,72,2.4,1005.7,1016.4,95.8,0,0
108,2024-12-01 04:59,1.6,0,68,1.7,1005.7,1016.4,96.2,0,0
108,2024-12-01 05:00,1.7,0,69.9,2.1,1005.7,1016.4,95.9,0,0
108,2024-12-01 05:01,1.6,0,71.9,2.1,1005.7,1016.4,96.1,0,0
108,2024-12-01 05:02,1.7,0,69.8,2.2,1005.7,1016.4,96.2,0,0
108,2024-12-01 05:03,1.7,0,64.1,2.3,1005.7,1016.4,96.1,0,0
108,2024-12-01 05:04,1.6,0,61.9,2.7,1005.7,1016.4,96.1,0,0
108,2024-12-01 05:05,1.6,0,73.8,1.5,1005.7,1016.4,96.1,0,0
108,2024-12-01 05:06,1.6,0,65.3,1.5,1005.7,1016.4,96.2,0,0
108,2024-12-01 05:07,1.6,0,68.3,1.8,1005.7,1016.4,96.2,0,0
108,2024-12-01 05:08,1.6,0,48.4,1,1005.7,1016.4,96,0,0
108,2024-12-01 05:09,1.6,0,62.9,1.7,1005.7,1016.4,96,0,0
108,2024-12-01 05:10,1.6,0,67.1,1.5,1005.7,1016.4,95.8,0,0
108,2024-12-01 05:11,1.6,0,64.2,1.6,1005.7,1016.4,95.8,0,0
108,2024-12-01 05:12,1.6,0,64.8,2.7,1005.7,1016.4,96,0,0
108,2024-12-01 05:13,1.6,0,68.6,2.4,1005.7,1016.4,96,0,0
108,2024-12-01 05:14,1.6,0,59.7,2.1,1005.7,1016.4,95.9,0,0
